,States,2018_pop,2019_pop,2020_pop,2021_pop,2022_pop,2023_pop,2024_pop,2025_pop,2026_pop,2027_pop,2028_pop
0,Georgia,10456145,10482750.0,10510966.0,10541647.0,10573755.0,10605699.0,10636856.0,10666032.0,10691568.0,10714722.0,10735501.0
1,Arizona,7152019,7176672.0,7183305.0,7192501.0,7203565.0,7215399.0,7227541.0,7239817.0,7251224.0,7260230.0,7267523.0
2,Pennsylvania,12800721,12807589.0,12784390.0,12769126.0,12759830.0,12753706.0,12749614.0,12746919.0,12744661.0,12740756.0,12733060.0
3,New York,19517264,19594430.0,19624272.0,19662443.0,19706426.0,19752984.0,19800253.0,19847170.0,19892206.0,19932874.0,19966187.0
4,Utah,3156270,3176421.0,3196531.0,3217649.0,3239453.0,3261605.0,3283918.0,3306009.0,3327395.0,3348381.0,3369036.0
5,Vermont,625727,625497.0,624858.0,624526.0,624443.0,624485.0,624584.0,624702.0,624719.0,624501.0,624102.0
6,Illinois,12713360,12724020.0,12741413.0,12763823.0,12789672.0,12816812.0,12844129.0,12871049.0,12895744.0,12916246.0,12933704.0
7,United States,325980513,326573919.0,326938332.0,327426794.0,328001975.0,328609498.0,329223928.0,329830911.0,330382435.0,330827820.0,331197169.0
8,Alaska,718003,721807.0,725240.0,728689.0,732133.0,735492.0,738695.0,741700.0,744415.0,746886.0,749094.0
9,Montana,1058744,1059044.0,1057971.0,1057439.0,1057272.0,1057262.0,1057311.0,1057332.0,1057123.0,1056564.0,1055694.0
10,Idaho,1750670,1756450.0,1759425.0,1763130.0,1767320.0,1771685.0,1776123.0,1780567.0,1784781.0,1788521.0,1791996.0
11,Nevada,3023564,3030573.0,3035520.0,3040936.0,3046539.0,3051908.0,3056819.0,3060970.0,3063708.0,3065547.0,3066455.0
12,Tennessee,6749342,6745993.0,6746012.0,6748439.0,6752449.0,6756855.0,6761100.0,6764248.0,6765061.0,6764282.0,6762395.0
13,Oregon,4188167,4194026.0,4198486.0,4204362.0,4211089.0,4217811.0,4224191.0,4229981.0,4234554.0,4237383.0,4238736.0
14,Michigan,9992207,9987497.0,9982888.0,9983367.0,9987493.0,9993266.0,9999880.0,10006659.0,10012189.0,10014612.0,10014887.0
15,Mississippi,2973020,2976705.0,2974603.0,2973678.0,2973598.0,2973890.0,2974373.0,2974961.0,2975311.0,2974805.0,2973979.0
16,South Dakota,878777,880852.0,881022.0,881644.0,882630.0,883855.0,885240.0,886721.0,888247.0,889695.0,890951.0
17,Louisiana,4644049,4653003.0,4653442.0,4655620.0,4659035.0,4662861.0,4666690.0,4670307.0,4673088.0,4674442.0,4674817.0
18,Wisconsin,5810500,5811271.0,5812753.0,5817107.0,5823615.0,5831152.0,5839159.0,5847270.0,5854508.0,5859861.0,5863858.0
