SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,ESTBASE2010_CIV,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV,POPEST2015_CIV,POPEST2016_CIV,POPEST2017_CIV,POPEST2018_CIV
010,0,0,0,United States,0,0,3944160,3951430,3963092,3926570,3931258,3954786,3983965,3955192,3893945,3848208
010,0,0,0,United States,0,1,3978090,3957730,3966225,3977550,3942696,3948892,3973192,4003594,3973803,3912900
010,0,0,0,United States,0,2,4096939,4090621,3970654,3978924,3991745,3958708,3966330,3991543,4020825,3991437
010,0,0,0,United States,0,3,4119051,4111688,4101644,3981532,3991019,4005932,3974354,3982719,4006802,4036562
010,0,0,0,United States,0,4,4063186,4077346,4121488,4111490,3992496,4004035,4020264,3989317,3996592,4021168
010,0,0,0,United States,0,5,4056872,4064521,4087054,4131049,4121876,4004571,4017585,4034325,4002285,4010118
010,0,0,0,United States,0,6,4066412,4072904,4074533,4096633,4141130,4133374,4017408,4030894,4046625,4015259
010,0,0,0,United States,0,7,4030594,4042990,4082824,4084179,4106760,4152671,4145890,4030394,4042957,4059363
010,0,0,0,United States,0,8,4046497,4025502,4052777,4092566,4094521,4118353,4165010,4158761,4042250,4055624
010,0,0,0,United States,0,9,4148369,4125312,4035330,4062734,4103065,4106085,4130850,4178022,4170820,4055278
010,0,0,0,United States,0,10,4172559,4186957,4135289,4045469,4072986,4114582,4118758,4144072,4190254,4184077
010,0,0,0,United States,0,11,4114443,4115419,4197147,4145757,4055866,4084486,4126853,4131514,4155802,4203007
010,0,0,0,United States,0,12,4106261,4113237,4125764,4207720,4156304,4067268,4096692,4139568,4143257,4168485
010,0,0,0,United States,0,13,4118055,4119551,4123876,4136225,4218387,4168198,4080243,4110339,4152283,4156887
010,0,0,0,United States,0,14,4166059,4145478,4130934,4134916,4147757,4231541,4182341,4095187,4124198,4167071
010,0,0,0,United States,0,15,4242946,4230871,4158361,4143301,4148033,4163079,4248058,4199515,4111285,4141218
010,0,0,0,United States,0,16,4316311,4313059,4246797,4173683,4159459,4166238,4182107,4267900,4218086,4130744
010,0,0,0,United States,0,17,4395196,4375121,4333386,4266503,4193626,4181664,4188717,4205810,4289539,4240713
010,0,0,0,United States,0,18,4482436,4474402,4386056,4343438,4275515,4206129,4193418,4200538,4212801,4286391
010,0,0,0,United States,0,19,4533403,4520712,4471089,4379116,4330953,4268955,4200649,4187361,4191466,4206071
010,0,0,0,United States,0,20,4452626,4500991,4536553,4485361,4388629,4346492,4284795,4215803,4200298,4207991
010,0,0,0,United States,0,21,4280148,4312311,4519699,4558160,4502360,4409221,4368109,4306341,4234037,4221522
010,0,0,0,United States,0,22,4188295,4207724,4335157,4545486,4583453,4529762,4439148,4397506,4332410,4261542
010,0,0,0,United States,0,23,4122832,4140265,4237470,4368223,4579270,4619523,4568087,4476962,4432793,4368248
010,0,0,0,United States,0,24,4176530,4170041,4171693,4271055,4402508,4616991,4660044,4606296,4512550,4469055
010,0,0,0,United States,0,25,4194785,4220528,4199945,4204036,4303682,4438104,4656034,4697505,4639771,4545252
010,0,0,0,United States,0,26,4090707,4098059,4247785,4230252,4235189,4337366,4476506,4691845,4730311,4672523
010,0,0,0,United States,0,27,4192055,4179400,4124111,4277149,4261183,4269296,4375738,4511541,4724015,4760495
010,0,0,0,United States,0,28,4164505,4195102,4202940,4150543,4304584,4292699,4305385,4408556,4540362,4753174
010,0,0,0,United States,0,29,4176622,4162800,4215984,4226745,4175679,4333121,4326208,4335556,4435042,4566154
010,0,0,0,United States,0,30,4242932,4260621,4181234,4236548,4249444,4202002,4363917,4354435,4360049,4458995
010,0,0,0,United States,0,31,3931662,4002646,4276469,4198975,4255727,4271660,4229738,4388391,4376159,4380656
010,0,0,0,United States,0,32,3951250,3931163,4016412,4291621,4215566,4274808,4296120,4251470,4407157,4394608
010,0,0,0,United States,0,33,3847378,3899485,3943574,4029130,4305791,4232024,4296522,4315807,4268110,4424410
010,0,0,0,United States,0,34,3808010,3790779,3910016,3954888,4040903,4320154,4251522,4313925,4330938,4283460
010,0,0,0,United States,0,35,3925951,3916944,3800129,3920003,3965246,4052636,4336630,4265719,4325333,4342863
